run_name,model,seq_len,n,pos_rate,auc,bce,accuracy,f1,brier,ece,mean_prob
small_mlp_seq50,mlp,50,64800,0.6638271808624268,0.714057785043183,0.572233782335083,0.7045987654320988,0.8002087464774031,0.19424941865599804,0.012130029209705469,0.6711340746097125
small_gru_seq50,gru,50,64800,0.6638271808624268,0.7083606078072155,0.5792013713528368,0.7032098765432099,0.7961372935614492,0.19669353624807848,0.02894441901087762,0.6659713761177616
phase2_10k_mlp_seq50,mlp,50,292580,0.6583771705627441,0.7397921629705388,0.5569965541600842,0.7125880101168911,0.798388856255769,0.18876443416255967,0.011902401773655374,0.6465718540878432
phase2_10k_gru_seq50,gru,50,292580,0.6583771705627441,0.7513364196912656,0.548246411790484,0.720162006972452,0.8041075799300889,0.18505158396507435,0.007903035412271978,0.6556101681222569
